gene_name,ct_marker_evidence_blood,ct_marker_evidence_bone_marrow,ct_marker_evidence_heart,ct_marker_evidence_kidney,ct_marker_evidence_liver,ct_marker_evidence_lung,ct_marker_evidence_lymph_node
ADI1,,0.0,,0.0,0.0,0.0,0.0
ADIPOQ,,,0.0,0.0,,,
ADIPOQ-AS1,,,1.0,,,,
ADIPOR1,0.0,0.0,,,,0.0,
ADIPOR2,,,0.0,0.0,,0.0,
ADIRF,,,1.0,0.0,0.0,1.0,0.0
ADK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADM2,,0.0,,0.0,1.0,,0.0
ADM5,,,,0.0,,0.0,
ADNP,,,,0.0,,,
ADNP2,,0.0,,,0.0,,
ADO,,0.0,,0.0,,,
ADORA1,,,,0.0,,,
ADORA2A,0.0,0.0,,,,,0.0
ADORA2A-AS1,,,,0.0,0.0,0.0,
ADORA2B,0.0,0.0,,,0.0,0.0,0.0
ADORA3,,,1.0,1.0,0.0,,
ADPGK,,0.0,,0.0,0.0,,
ADPGK-AS1,,0.0,,,1.0,,
ADPRH,0.0,1.0,,0.0,,,
ADPRHL1,,,0.0,0.0,,,
ADPRM,,0.0,,0.0,,,
ADRA1A,,,0.0,1.0,0.0,,
ADRA1B,,,,0.0,,,
ADRA1D,,,,,,1.0,
ADRA2A,0.0,1.0,,1.0,1.0,0.0,
ADRA2B,,,,0.0,,1.0,
ADRA2C,,,,0.0,,,
ADRB1,,0.0,,0.0,,0.0,
ADRB2,0.0,0.0,,0.0,0.0,0.0,0.0
ADRB3,,,,,,1.0,
ADRM1,0.0,,,0.0,0.0,,
ADSL,0.0,0.0,,,,,0.0
ADTRP,1.0,1.0,,0.0,0.0,0.0,0.0
AEBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEBP2,,,,0.0,,,0.0
AEN,,,,0.0,,,0.0
AF064858.6,,,,0.0,,,
AF064858.8,,,,1.0,0.0,,
AF121898.3,,,0.0,,,,
AF127577.11,,,0.0,,,,
AF131217.1,,,0.0,,,,
AF196972.9,,,0.0,,0.0,,
AFAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFAP1L1,,,0.0,0.0,0.0,0.0,0.0
AFAP1L2,,,0.0,0.0,0.0,0.0,
AFDN,0.0,,,,,,
